timestamp;open;high;low;close;volume
2023-08-31T22:00:00Z;0.741;0.741;0.741;0.741;1.0
2023-08-31T22:17:00Z;0.7409;0.7409;0.7409;0.7409;1.0
2023-08-31T22:48:00Z;0.7412000000000001;0.7412000000000001;0.7412000000000001;0.7412000000000001;1.0
2023-09-01T01:03:00Z;0.7415;0.7415;0.7415;0.7415;1.0
2023-09-01T01:04:00Z;0.7416;0.7416;0.7416;0.7416;1.0
2023-09-01T01:09:00Z;0.7417;0.7417;0.7417;0.7417;1.0
2023-09-01T01:30:00Z;0.7422000000000001;0.7422000000000001;0.7422000000000001;0.7422000000000001;1.0
2023-09-01T01:46:00Z;0.7422000000000001;0.7422000000000001;0.7422000000000001;0.7422000000000001;1.0
2023-09-01T01:47:00Z;0.7419;0.7421;0.7419;0.7421;5.0
2023-09-01T03:22:00Z;0.7411;0.7411;0.7411;0.7411;1.0
2023-09-01T07:02:00Z;0.7411;0.7411;0.7411;0.7411;4.0
2023-09-01T07:24:00Z;0.7419;0.7419;0.7419;0.7419;10.0
2023-09-01T07:26:00Z;0.7418;0.7418;0.7418;0.7418;1.0
2023-09-01T08:50:00Z;0.7418;0.7418;0.7418;0.7418;1.0
2023-09-01T09:55:00Z;0.7416;0.7416;0.7416;0.7416;1.0
2023-09-01T10:04:00Z;0.7415;0.7415;0.7415;0.7415;1.0
2023-09-01T10:14:00Z;0.7415;0.7415;0.7415;0.7415;1.0
2023-09-01T12:30:00Z;0.742;0.742;0.742;0.742;1.0
2023-09-01T12:32:00Z;0.7409;0.7409;0.7409;0.7409;1.0
2023-09-01T12:35:00Z;0.7408;0.7408;0.7408;0.7408;1.0
2023-09-01T12:37:00Z;0.7407;0.7407;0.7407;0.7407;1.0
2023-09-01T12:38:00Z;0.7403000000000001;0.7403000000000001;0.7403000000000001;0.7403000000000001;1.0
2023-09-01T12:39:00Z;0.74;0.74;0.74;0.74;1.0
2023-09-01T12:40:00Z;0.7397;0.7398;0.7397;0.7398;2.0
2023-09-01T12:41:00Z;0.7393000000000001;0.7394000000000001;0.7393000000000001;0.7394000000000001;2.0
2023-09-01T12:42:00Z;0.7389;0.7389;0.7389;0.7389;2.0
2023-09-01T12:43:00Z;0.7389;0.7389;0.7388;0.7388;10.0
2023-09-01T12:45:00Z;0.7393000000000001;0.7393000000000001;0.7393000000000001;0.7393000000000001;1.0
2023-09-01T12:51:00Z;0.7395;0.7396;0.7391000000000001;0.7391000000000001;11.0
