timestamp,open,high,low,close,volume,contract
2023-08-30 11:24:00,7.29,7.29,7.29,7.29,4.0,CNHU23
2023-08-30 11:49:00,7.2929,7.2929,7.2929,7.2929,1.0,CNHU23
2023-08-30 12:09:00,7.291200000000001,7.291200000000001,7.291200000000001,7.291200000000001,2.0,CNHU23
2023-08-30 12:10:00,7.291200000000001,7.291200000000001,7.291,7.291,2.0,CNHU23
2023-08-30 12:15:00,7.287,7.287,7.287,7.287,1.0,CNHU23
2023-08-30 12:19:00,7.287,7.287,7.287,7.287,1.0,CNHU23
2023-08-30 12:30:00,7.287100000000001,7.287100000000001,7.287100000000001,7.287100000000001,2.0,CNHU23
2023-08-30 12:39:00,7.2857,7.2857,7.2857,7.2857,1.0,CNHU23
2023-08-30 13:03:00,7.282500000000001,7.282500000000001,7.282500000000001,7.282500000000001,1.0,CNHU23
2023-08-30 13:05:00,7.282100000000001,7.282100000000001,7.2819,7.2819,3.0,CNHU23
2023-08-30 13:06:00,7.2819,7.2819,7.2819,7.2819,1.0,CNHU23
2023-08-30 13:07:00,7.2835,7.2835,7.2835,7.2835,3.0,CNHU23
2023-08-30 13:09:00,7.283,7.283,7.283,7.283,1.0,CNHU23
2023-08-30 13:10:00,7.2847,7.2847,7.2847,7.2847,1.0,CNHU23
2023-08-30 13:11:00,7.2858,7.2858,7.2858,7.2858,1.0,CNHU23
2023-08-30 13:25:00,7.2858,7.2858,7.2858,7.2858,2.0,CNHU23
2023-08-30 13:26:00,7.285,7.285,7.285,7.285,1.0,CNHU23
2023-08-30 13:30:00,7.284,7.284,7.284,7.284,1.0,CNHU23
2023-08-30 13:32:00,7.2827,7.2827,7.2827,7.2827,1.0,CNHU23
2023-08-30 13:33:00,7.282,7.282,7.282,7.282,2.0,CNHU23
2023-08-30 13:34:00,7.2823,7.2823,7.2819,7.2819,2.0,CNHU23
2023-08-30 13:35:00,7.281000000000001,7.281000000000001,7.281000000000001,7.281000000000001,1.0,CNHU23
2023-08-30 13:38:00,7.282100000000001,7.282100000000001,7.282100000000001,7.282100000000001,1.0,CNHU23
2023-08-30 13:47:00,7.281000000000001,7.281000000000001,7.281000000000001,7.281000000000001,1.0,CNHU23
2023-08-30 14:10:00,7.2835,7.2835,7.2835,7.2835,1.0,CNHU23
2023-08-30 14:12:00,7.282,7.282,7.282,7.282,1.0,CNHU23
2023-08-30 14:14:00,7.2819,7.2819,7.2819,7.2819,1.0,CNHU23
2023-08-30 14:16:00,7.2815,7.2815,7.2815,7.2815,1.0,CNHU23
2023-08-30 14:21:00,7.283200000000001,7.283200000000001,7.282900000000001,7.282900000000001,2.0,CNHU23
2023-08-30 14:24:00,7.2853,7.2853,7.2853,7.2853,1.0,CNHU23
2023-08-30 14:26:00,7.285,7.285,7.285,7.285,1.0,CNHU23
2023-08-30 14:32:00,7.284,7.284,7.284,7.284,1.0,CNHU23
2023-08-30 14:38:00,7.284,7.284,7.2839,7.284,3.0,CNHU23
2023-08-30 14:39:00,7.284400000000001,7.284400000000001,7.284400000000001,7.284400000000001,1.0,CNHU23
2023-08-30 14:41:00,7.2842,7.2842,7.2842,7.2842,1.0,CNHU23
2023-08-30 14:54:00,7.285500000000001,7.285500000000001,7.285500000000001,7.285500000000001,1.0,CNHU23
2023-08-30 14:57:00,7.2857,7.2857,7.2857,7.2857,1.0,CNHU23
2023-08-30 15:02:00,7.2879,7.2879,7.2879,7.2879,1.0,CNHU23
2023-08-30 15:04:00,7.287,7.287,7.287,7.287,1.0,CNHU23
2023-08-30 15:05:00,7.286700000000001,7.286700000000001,7.2866,7.2866,2.0,CNHU23
2023-08-30 15:06:00,7.286,7.286,7.286,7.286,1.0,CNHU23
2023-08-30 15:07:00,7.285900000000001,7.285900000000001,7.285900000000001,7.285900000000001,1.0,CNHU23
2023-08-30 15:10:00,7.2875,7.2875,7.2875,7.2875,1.0,CNHU23
2023-08-30 15:12:00,7.2881,7.2881,7.2881,7.2881,1.0,CNHU23
2023-08-30 15:13:00,7.2885,7.2885,7.2885,7.2885,1.0,CNHU23
2023-08-30 15:14:00,7.288,7.288,7.288,7.288,1.0,CNHU23
2023-08-30 15:15:00,7.2873,7.2873,7.2873,7.2873,1.0,CNHU23
2023-08-30 15:18:00,7.288,7.288,7.288,7.288,1.0,CNHU23
2023-08-30 15:19:00,7.2875,7.2875,7.2875,7.2875,1.0,CNHU23
2023-08-30 15:28:00,7.2879,7.2879,7.2879,7.2879,1.0,CNHU23
2023-08-30 15:29:00,7.288,7.288,7.288,7.288,1.0,CNHU23
2023-08-30 15:37:00,7.288,7.288,7.288,7.288,1.0,CNHU23
2023-08-30 15:39:00,7.288,7.288,7.288,7.288,1.0,CNHU23
2023-08-30 15:43:00,7.287,7.287,7.287,7.287,1.0,CNHU23
2023-08-30 16:56:00,7.289000000000001,7.289000000000001,7.289000000000001,7.289000000000001,1.0,CNHU23
2023-08-30 17:04:00,7.2896,7.2896,7.2896,7.2896,1.0,CNHU23
2023-08-30 17:11:00,7.289000000000001,7.289000000000001,7.289000000000001,7.289000000000001,3.0,CNHU23
2023-08-30 17:36:00,7.2899,7.2899,7.2899,7.2899,2.0,CNHU23
2023-08-30 17:56:00,7.2915,7.2915,7.2915,7.2915,1.0,CNHU23
2023-08-30 18:05:00,7.292400000000001,7.292400000000001,7.292400000000001,7.292400000000001,1.0,CNHU23
2023-08-30 18:46:00,7.2917,7.2917,7.2914,7.2917,21.0,CNHU23
2023-08-30 19:12:00,7.2917,7.2917,7.2917,7.2917,2.0,CNHU23
2023-08-30 19:25:00,7.292,7.292,7.292,7.292,1.0,CNHU23
2023-08-30 19:26:00,7.292,7.292,7.2915,7.2915,29.0,CNHU23
2023-08-30 19:27:00,7.2915,7.2915,7.291200000000001,7.291200000000001,20.0,CNHU23
2023-08-30 20:07:00,7.2921,7.2921,7.2921,7.2921,2.0,CNHU23
2023-08-31 11:03:00,7.29,7.29,7.29,7.29,1.0,CNHU23
2023-08-31 11:47:00,7.287400000000001,7.287400000000001,7.287400000000001,7.287400000000001,1.0,CNHU23
2023-08-31 12:11:00,7.284,7.284400000000001,7.284,7.284400000000001,2.0,CNHU23
2023-08-31 12:15:00,7.2811,7.2811,7.2811,7.2811,4.0,CNHU23
2023-08-31 12:18:00,7.2777,7.2777,7.2777,7.2777,1.0,CNHU23
2023-08-31 12:28:00,7.276,7.276,7.275600000000001,7.275600000000001,2.0,CNHU23
2023-08-31 12:29:00,7.2735,7.274,7.2735,7.274,2.0,CNHU23
2023-08-31 12:30:00,7.2748,7.2748,7.2721,7.2721,6.0,CNHU23
2023-08-31 12:32:00,7.2705,7.2717,7.2705,7.2717,2.0,CNHU23
2023-08-31 12:33:00,7.2717,7.273300000000001,7.2717,7.2727,4.0,CNHU23
2023-08-31 12:34:00,7.2727,7.2727,7.2727,7.2727,2.0,CNHU23
2023-08-31 12:35:00,7.272600000000001,7.272600000000001,7.272600000000001,7.272600000000001,1.0,CNHU23
2023-08-31 12:36:00,7.2742,7.2742,7.2742,7.2742,1.0,CNHU23
2023-08-31 12:38:00,7.273000000000001,7.2734,7.273000000000001,7.2734,2.0,CNHU23
2023-08-31 12:42:00,7.2713,7.2713,7.2713,7.2713,1.0,CNHU23
2023-08-31 12:45:00,7.2705,7.2705,7.2696,7.2696,4.0,CNHU23
2023-08-31 12:47:00,7.266500000000001,7.266500000000001,7.2663,7.2663,7.0,CNHU23
